addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
E41C,7,standalone,E41C,7,E41C,7,9,0x02,ptr_scan
E41D,7,standalone,E41D,7,E41D,7,1,0x02,ptr_scan
F054,7,secondary,EFD1,7,EFD1,7,1,0x02,ptr_scan
F055,7,standalone,F055,7,F055,7,1,0x02,ptr_scan
F2F0,7,standalone,F2F0,7,F2F0,7,1,0x02,ptr_scan
F2F1,7,standalone,F2F1,7,F2F1,7,1,0x02,ptr_scan
E29C,7,standalone,E29C,7,E29C,7,9,0x02,ptr_scan
D211,7,secondary,CF8A,7,CF8A,7,10,0x02,ptr_scan
D212,7,standalone,D212,7,D212,7,1,0x02,ptr_scan
F06C,7,standalone,F06C,7,F06C,7,1,0x02,ptr_scan
F06D,7,standalone,F06D,7,F06D,7,1,0x02,ptr_scan
D920,7,secondary,CF8A,7,CF8A,7,3,0x02,ptr_scan
D921,7,standalone,D921,7,D921,7,1,0x02,ptr_scan
F321,7,standalone,F321,7,F321,7,4,0x02,ptr_scan
F062,7,standalone,F062,7,F062,7,1,0x02,ptr_scan
F063,7,standalone,F063,7,F063,7,1,0x02,ptr_scan
E6D0,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
F057,7,standalone,F057,7,F057,7,1,0x02,ptr_scan
F058,7,standalone,F058,7,F058,7,1,0x02,ptr_scan
CEEF,7,standalone,CEEF,7,CEEF,7,1,0x02,ptr_scan
CEF0,7,secondary,CECF,7,CECF,7,1,0x02,ptr_scan
F1D0,7,standalone,F1D0,7,F1D0,7,1,0x02,ptr_scan
F1D1,7,standalone,F1D1,7,F1D1,7,1,0x02,ptr_scan
D0B1,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
EAC6,7,standalone,EAC6,7,EAC6,7,1,0x02,ptr_scan
EAC7,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
EAEA,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
EAEB,7,standalone,EAEB,7,EAEB,7,1,0x02,ptr_scan
D54D,7,standalone,D54D,7,D54D,7,1,0x02,ptr_scan
CCAD,7,secondary,CCA8,7,CCA8,7,1,0x02,ptr_scan
CCAE,7,secondary,CCA8,7,CCA8,7,1,0x02,ptr_scan
CDAD,7,standalone,CDAD,7,CDAD,7,1,0x02,ptr_scan
CDAE,7,standalone,CDAE,7,CDAE,7,1,0x02,ptr_scan
CEAD,7,secondary,CE02,7,CE02,7,1,0x02,ptr_scan
CFAE,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D0AD,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D1AD,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D1AE,7,standalone,D1AE,7,D1AE,7,1,0x02,ptr_scan
D2AD,7,standalone,D2AD,7,D2AD,7,1,0x02,ptr_scan
D2AE,7,standalone,D2AE,7,D2AE,7,1,0x02,ptr_scan
D8AD,7,standalone,D8AD,7,D8AD,7,1,0x02,ptr_scan
D8AE,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D9AD,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
